date,split,price_true,price_pred
2020-01-02,val,6945.020000000004,7112.912658252879
2020-01-03,val,7334.45,6994.865358540091
2020-01-04,val,7348.6299999999965,7330.109499357642
2020-01-05,val,7355.400000000011,7298.974159017591
2020-01-06,val,7764.629999999993,7423.462922848609
2020-01-07,val,8158.519999999995,7769.960172857429
2020-01-08,val,8045.510000000001,8162.1755716625385
2020-01-09,val,7813.780000000006,8043.8759408741835
2020-01-10,val,8198.089999999997,7860.312064691642
2020-01-11,val,8020.0,8198.78653628796
2020-01-12,val,8180.81000000001,7983.811003719321
2020-01-13,val,8104.499999999998,8231.028579028965
2020-01-14,val,8815.689999999995,8118.508446423314
2020-01-15,val,8808.809999999998,8843.303775391842
2020-01-16,val,8714.759999999998,8790.05006373483
2020-01-17,val,8899.420000000004,8703.077341793687
2020-01-18,val,8909.319999999998,8923.41253051799
2020-01-19,val,8697.529999999997,8906.06704830073
2020-01-20,val,8628.890000000005,8682.334784887276
2020-01-21,val,8722.029999999999,8664.739114690143
2020-01-22,val,8660.380000000001,8771.87361761188
2020-01-23,val,8385.21999999999,8664.33246025276
2020-01-24,val,8427.260000000006,8367.390927336017
2020-01-25,val,8326.809999999998,8445.659091279955
2020-01-26,val,8595.0,8277.932390713944
2020-01-27,val,8895.959999999994,8608.553807840146
2020-01-28,val,9394.500000000002,8828.539217547142
2020-01-29,val,9288.439999999999,9348.716723688834
2020-01-30,val,9503.080000000007,9275.162047708478
2020-01-31,val,9334.980000000003,9541.776331524428
2020-02-01,val,9380.179999999998,9239.887581277826
2020-02-02,val,9323.5,9347.320189885657
2020-02-03,val,9280.489999999998,9327.407791281878
2020-02-04,val,9164.329999999998,9270.12651073925
2020-02-05,val,9613.819999999998,9133.728875971936
2020-02-06,val,9763.009999999998,9559.35314340061
2020-02-07,val,9808.050000000012,9668.816989512292
2020-02-08,val,9905.639999999996,9661.701174074255
2020-02-09,val,10168.350000000004,9790.825661012876
2020-02-10,val,9851.779999999993,10121.731075286018
2020-02-11,val,10270.009999999993,9829.943955314597
2020-02-12,val,10351.130000000001,10262.08386393008
2020-02-13,val,10236.489999999996,10268.621457347075
2020-02-14,val,10371.330000000013,10278.364951597487
2020-02-15,val,9911.219999999996,10302.918715277487
2020-02-16,val,9920.999999999998,9905.388269419156
2020-02-17,val,9700.000000000002,9958.453790779673
2020-02-18,val,10188.040000000005,9654.47623151312
2020-02-19,val,9600.079999999994,10195.647032727977
2020-02-20,val,9610.049999999994,9569.015763869389
2020-02-21,val,9695.660000000002,9652.127725164974
2020-02-22,val,9668.230000000007,9569.660547342226
2020-02-23,val,9965.010000000004,9641.509244539
2020-02-24,val,9660.0,9907.683430321944
2020-02-25,val,9304.999999999985,9577.478708800918
2020-02-26,val,8778.300000000008,9244.762872485328
2020-02-27,val,8812.489999999996,8742.08562032705
2020-02-28,val,8708.890000000001,8756.632232708625
2020-02-29,val,8525.069999999994,8598.940343883689
2020-03-01,val,8522.310000000003,8364.18005610204
2020-03-02,val,8914.999999999996,8510.062441467491
2020-03-03,val,8757.84000000001,8831.695452875461
2020-03-04,val,8760.659999999985,8679.580372300914
2020-03-05,val,9070.170000000013,8677.431011452862
2020-03-06,val,9158.509999999998,8850.894010351423
2020-03-07,val,8901.370000000003,9054.000010528935
2020-03-08,val,8037.7599999999975,8745.782010541427
2020-03-09,val,7934.519999999992,8060.916756100092
2020-03-10,val,7894.680000000009,7875.326517054294
2020-03-11,val,7938.050000000005,7646.537324505768
2020-03-12,val,4857.099999999997,8194.358746718326
2020-03-13,val,5637.600000000002,5034.444870413142
2020-03-14,val,5165.249999999999,5672.7710008786025
2020-03-15,val,5345.349999999997,5119.058421738419
2020-03-16,val,5037.610000000002,5561.0473855879445
2020-03-17,val,5331.709999999999,4965.069684115624
2020-03-18,val,5413.640000000002,5351.181331388975
2020-03-19,val,6186.260000000005,5342.2608087264925
2020-03-20,val,6206.099999999996,6094.123977121488
2020-03-21,val,6198.779999999997,6227.911854449909
2020-03-22,val,5818.25,6149.297352735412
2020-03-23,val,6490.6300000000065,5771.27006244611
2020-03-24,val,6766.64,6910.694218858262
2020-03-25,val,6690.959999999991,6687.060029062543
2020-03-26,val,6758.180000000005,6672.083796999234
2020-03-27,val,6372.360000000004,6462.888718083519
2020-03-28,val,6251.820000000001,6289.932235561032
2020-03-29,val,5877.209999999991,6116.164569351198
2020-03-30,val,6406.400000000001,5753.665110340562
2020-03-31,val,6424.350000000004,6218.666449889867
2020-04-01,val,6666.109999999996,6309.916760404005
2020-04-02,val,6804.519999999999,6726.738247262843
2020-04-03,val,6741.990000000007,6827.800447161033
