date,split,price_true,price_pred
2020-01-31,val,9334.980000000003,9446.455354919433
2020-02-01,val,9380.179999999998,9273.246513884067
2020-02-02,val,9323.5,9317.886499394179
2020-02-03,val,9280.489999999998,9264.729974091053
2020-02-04,val,9164.329999999998,9215.238103536367
2020-02-05,val,9613.819999999998,9101.164834324718
2020-02-06,val,9763.009999999998,9542.11066225171
2020-02-07,val,9808.050000000012,9684.067795847655
2020-02-08,val,9905.639999999996,9731.480146881937
2020-02-09,val,10168.350000000004,9833.33217970848
2020-02-10,val,9851.779999999993,10096.353651112318
2020-02-11,val,10270.009999999993,9779.966927133799
2020-02-12,val,10351.130000000001,10199.069060877562
2020-02-13,val,10236.489999999996,10275.408605884313
2020-02-14,val,10371.330000000013,10159.730431491136
2020-02-15,val,9911.219999999996,10273.21132284522
2020-02-16,val,9920.999999999998,9813.67693912983
2020-02-17,val,9700.000000000002,9827.116273105145
2020-02-18,val,10188.040000000005,9602.329421043396
2020-02-19,val,9600.079999999994,10087.836326849461
2020-02-20,val,9610.049999999994,9507.701949000359
2020-02-21,val,9695.660000000002,9531.083866229652
2020-02-22,val,9668.230000000007,9606.840992063284
2020-02-23,val,9965.010000000004,9587.047764446139
2020-02-24,val,9660.0,9883.762685016989
2020-02-25,val,9304.999999999985,9578.016865253448
2020-02-26,val,8778.300000000008,9232.769460082054
2020-02-27,val,8812.489999999996,8719.07745425105
2020-02-28,val,8708.890000000001,8762.174833461046
2020-02-29,val,8525.069999999994,8662.711727371216
2020-03-01,val,8522.310000000003,8485.067677166462
2020-03-02,val,8914.999999999996,8494.93248875141
2020-03-03,val,8757.84000000001,8886.409877538681
2020-03-04,val,8760.659999999985,8739.916335296632
2020-03-05,val,9070.170000000013,8740.317066328525
2020-03-06,val,9158.509999999998,9064.160420715809
2020-03-07,val,8901.370000000003,9148.543691104054
2020-03-08,val,8037.7599999999975,8899.070539971592
2020-03-09,val,7934.519999999992,8038.282205734253
2020-03-10,val,7894.680000000009,7946.958170671463
2020-03-11,val,7938.050000000005,7898.579997940064
2020-03-12,val,4857.099999999997,7947.978467345238
2020-03-13,val,5637.600000000002,4881.098866176606
2020-03-14,val,5165.249999999999,5669.571638774873
2020-03-15,val,5345.349999999997,5207.224158525467
2020-03-16,val,5037.610000000002,5409.071537590027
2020-03-17,val,5331.709999999999,5096.339422993659
2020-03-18,val,5413.640000000002,5399.26679320097
2020-03-19,val,6186.260000000005,5468.696626281739
2020-03-20,val,6206.099999999996,6241.654282329083
2020-03-21,val,6198.779999999997,6229.37488732338
2020-03-22,val,5818.25,6219.1809912300105
2020-03-23,val,6490.6300000000065,5831.399068772793
2020-03-24,val,6766.64,6465.67832312584
2020-03-25,val,6690.959999999991,6745.567574152947
2020-03-26,val,6758.180000000005,6670.184272356033
2020-03-27,val,6372.360000000004,6733.305931799412
2020-03-28,val,6251.820000000001,6338.7821934413905
2020-03-29,val,5877.209999999991,6215.001178157329
2020-03-30,val,6406.400000000001,5833.856106696725
2020-03-31,val,6424.350000000004,6344.1063232421875
2020-04-01,val,6666.109999999996,6361.694152146578
2020-04-02,val,6804.519999999999,6604.4402370846265
2020-04-03,val,6741.990000000007,6732.346455919743
2020-04-04,val,6874.770000000003,6676.009203180671
2020-04-05,val,6778.249999999993,6817.682320370079
2020-04-06,val,7341.559999999998,6727.2479312717915
2020-04-07,val,7200.01000000001,7307.091388542653
2020-04-08,val,7370.109999999993,7181.204040881991
2020-04-09,val,7293.240000000003,7351.616652189493
2020-04-10,val,6871.91,7275.637683019638
2020-04-11,val,6889.649999999992,6851.976106082797
2020-04-12,val,6908.130000000006,6838.042968446016
2020-04-13,val,6861.210000000002,6834.757438234091
2020-04-14,val,6877.369999999994,6779.66542383492
2020-04-15,val,6624.119999999999,6802.773816514015
2020-04-16,val,7112.64000000001,6533.790782225132
2020-04-17,val,7037.4599999999955,7023.6244024086
2020-04-18,val,7261.76,6964.994432576895
2020-04-19,val,7130.709999999998,7201.744016532898
2020-04-20,val,6838.190000000007,7080.966107033491
2020-04-21,val,6853.680000000001,6803.737003596425
2020-04-22,val,7136.839999999992,6158.62195183754
2020-04-23,val,7488.829999999998,6651.280364768505
2020-04-24,val,7514.639999999997,7344.6590453922745
2020-04-25,val,7547.609999999999,7439.435891604424
2020-04-26,val,7706.4000000000015,8196.086975648403
2020-04-27,val,7789.7699999999995,8509.714678573608
2020-04-28,val,7755.010000000002,7809.968260220289
2020-04-29,val,8793.750000000007,8260.758458586932
2020-04-30,val,8624.279999999997,9584.155221283436
2020-05-01,val,8829.420000000002,9336.220903673173
2020-05-02,val,8985.58,9560.576240851879
2020-05-03,val,8909.95,9749.575302681922
2020-05-04,val,8883.530000000008,9685.994157528878
2020-05-05,val,9028.789999999992,8888.724391566515
2020-05-06,val,9155.790000000006,9291.7780401361
2020-05-07,val,10004.769999999995,9600.931280314924
2020-05-08,val,9810.0,10817.808553448916
2020-05-09,val,9537.209999999997,10634.279651641846
2020-05-10,val,8729.860000000011,10361.949470211266
2020-05-11,val,8572.399999999987,9477.343272914886
2020-05-12,val,8821.42000000001,9317.234223508834
2020-05-13,val,9321.26,9586.625874447822
2020-05-14,val,9795.339999999987,10132.650874333382
2020-05-15,val,9312.1,10676.469028787613
2020-05-16,val,9383.16000000001,10161.639877057076
2020-05-17,val,9676.629999999996,10244.911921405792
2020-05-18,val,9728.519999999995,10570.254150575398
2020-05-19,val,9783.759999999998,10644.525748615266
2020-05-20,val,9509.410000000005,10773.000458221435
2020-05-21,val,9061.959999999995,10876.377031565904
