date,split,price_true,price_pred
2020-01-02,val,6945.020000000004,7112.915938036302
2020-01-03,val,7334.45,6994.901833287661
2020-01-04,val,7348.6299999999965,7329.979853672045
2020-01-05,val,7355.400000000011,7298.894411488072
2020-01-06,val,7764.629999999993,7423.907968110839
2020-01-07,val,8158.519999999995,7770.117585925493
2020-01-08,val,8045.510000000001,8162.323527748307
2020-01-09,val,7813.780000000006,8043.9795933314745
2020-01-10,val,8198.089999999997,7860.329011803485
2020-01-11,val,8020.0,8198.673250382042
2020-01-12,val,8180.81000000001,7983.707558057662
2020-01-13,val,8104.499999999998,8231.148468526131
2020-01-14,val,8815.689999999995,8118.3670814249035
2020-01-15,val,8808.809999999998,8843.37583038444
2020-01-16,val,8714.759999999998,8789.909525814426
2020-01-17,val,8899.420000000004,8702.691863865399
2020-01-18,val,8909.319999999998,8923.444085177696
2020-01-19,val,8697.529999999997,8905.954998331477
2020-01-20,val,8628.890000000005,8682.180790411332
2020-01-21,val,8722.029999999999,8664.686853072499
2020-01-22,val,8660.380000000001,8772.321497253324
2020-01-23,val,8385.21999999999,8664.665615365706
2020-01-24,val,8427.260000000006,8367.413815760992
2020-01-25,val,8326.809999999998,8445.799909208423
2020-01-26,val,8595.0,8277.89673500371
2020-01-27,val,8895.959999999994,8608.547302538404
2020-01-28,val,9394.500000000002,8828.267951283446
2020-01-29,val,9288.439999999999,9349.018446185282
2020-01-30,val,9503.080000000007,9275.344626403768
2020-01-31,val,9334.980000000003,9541.804053458929
2020-02-01,val,9380.179999999998,9239.663130809793
2020-02-02,val,9323.5,9347.044772020949
2020-02-03,val,9280.489999999998,9326.984691153779
2020-02-04,val,9164.329999999998,9269.645588252051
2020-02-05,val,9613.819999999998,9133.406752333522
2020-02-06,val,9763.009999999998,9559.088329480803
2020-02-07,val,9808.050000000012,9668.4852040133
2020-02-08,val,9905.639999999996,9661.380445439585
2020-02-09,val,10168.350000000004,9790.217795082292
2020-02-10,val,9851.779999999993,10121.40527094914
2020-02-11,val,10270.009999999993,9829.660940009262
2020-02-12,val,10351.130000000001,10261.994941195499
2020-02-13,val,10236.489999999996,10268.289393638139
2020-02-14,val,10371.330000000013,10278.723401737068
2020-02-15,val,9911.219999999996,10303.033113412313
2020-02-16,val,9920.999999999998,9905.433962184083
2020-02-17,val,9700.000000000002,9958.601820539243
2020-02-18,val,10188.040000000005,9654.348070399981
2020-02-19,val,9600.079999999994,10195.3788307173
2020-02-20,val,9610.049999999994,9568.923708246013
2020-02-21,val,9695.660000000002,9652.314650546208
2020-02-22,val,9668.230000000007,9569.450998894392
2020-02-23,val,9965.010000000004,9641.37742575103
2020-02-24,val,9660.0,9907.418684397628
2020-02-25,val,9304.999999999985,9576.852880520964
2020-02-26,val,8778.300000000008,9244.706303141396
2020-02-27,val,8812.489999999996,8742.083900453377
2020-02-28,val,8708.890000000001,8756.343661822808
2020-02-29,val,8525.069999999994,8598.75084245879
2020-03-01,val,8522.310000000003,8363.889235735058
2020-03-02,val,8914.999999999996,8509.930577932855
2020-03-03,val,8757.84000000001,8831.299269892716
2020-03-04,val,8760.659999999985,8679.469926075793
2020-03-05,val,9070.170000000013,8677.025220988904
2020-03-06,val,9158.509999999998,8850.137247941542
2020-03-07,val,8901.370000000003,9053.508782526695
2020-03-08,val,8037.7599999999975,8745.33753280461
2020-03-09,val,7934.519999999992,8060.859417620458
2020-03-10,val,7894.680000000009,7875.10761921569
2020-03-11,val,7938.050000000005,7646.022469557647
2020-03-12,val,4857.099999999997,8193.956885130987
2020-03-13,val,5637.600000000002,5035.47182162482
2020-03-14,val,5165.249999999999,5673.318187444709
2020-03-15,val,5345.349999999997,5119.012671645433
2020-03-16,val,5037.610000000002,5561.600680084833
2020-03-17,val,5331.709999999999,4965.16992879711
2020-03-18,val,5413.640000000002,5351.624485500379
2020-03-19,val,6186.260000000005,5342.400324415108
2020-03-20,val,6206.099999999996,6093.930140267714
2020-03-21,val,6198.779999999997,6227.708410296865
2020-03-22,val,5818.25,6149.149540078018
2020-03-23,val,6490.6300000000065,5771.161174440813
2020-03-24,val,6766.64,6910.74091775489
2020-03-25,val,6690.959999999991,6686.582142755784
2020-03-26,val,6758.180000000005,6672.2620146248455
2020-03-27,val,6372.360000000004,6461.329388040137
2020-03-28,val,6251.820000000001,6289.12297428305
2020-03-29,val,5877.209999999991,6115.178079079403
2020-03-30,val,6406.400000000001,5752.694538245548
2020-03-31,val,6424.350000000004,6217.426636322428
2020-04-01,val,6666.109999999996,6309.152803505034
2020-04-02,val,6804.519999999999,6726.730414616744
2020-04-03,val,6741.990000000007,6827.895768707779
2020-04-04,val,6874.770000000003,6942.900786854116
2020-04-05,val,6778.249999999993,6986.864476955768
2020-04-06,val,7341.559999999998,6638.0289656425375
2020-04-07,val,7200.01000000001,7323.602393941618
2020-04-08,val,7370.109999999993,7158.599715657772
2020-04-09,val,7293.240000000003,7198.480146727431
2020-04-10,val,6871.91,7589.332012210433
2020-04-11,val,6889.649999999992,6840.152130345655
2020-04-12,val,6908.130000000006,6873.812049414452
2020-04-13,val,6861.210000000002,6796.814131461227
2020-04-14,val,6877.369999999994,6801.188979532973
2020-04-15,val,6624.119999999999,6877.933156444453
2020-04-16,val,7112.64000000001,6643.228680720084
2020-04-17,val,7037.4599999999955,7067.4202747151885
2020-04-18,val,7261.76,6715.188025441476
2020-04-19,val,7130.709999999998,7489.026894756235
2020-04-20,val,6838.190000000007,6826.069313903904
2020-04-21,val,6853.680000000001,6832.47144592849
2020-04-22,val,7136.839999999992,2238.894355807777
