model,val_rmse,val_mae,val_mape,val_r2,val_dir,test_rmse,test_mae,test_mape,test_r2,test_dir,all_rmse,all_mae,all_mape,all_r2,all_dir
ridge,0.05538352272628994,0.04197383509386817,9.031477799590553,-0.947557037001203,0.49171270718232046,0.07544952235473901,0.06265670772393296,59.00793361363948,-8.38985429454399,0.49240121580547114,0.06570612258581633,0.05182139673683679,32.826346052589244,-2.8747277745041706,0.492040520984081
ols,0.05546384177737806,0.04204899763936755,9.063699818732397,-0.9532099587557636,0.49171270718232046,0.0756503196758505,0.06282712420073495,59.185003775004105,-8.439900112118744,0.49240121580547114,0.06585138157729037,0.05194191173298531,32.927533395596924,-2.8918787239527735,0.492040520984081
svr,0.046579478993818764,0.033876830419173526,6.663069233873938,-0.37758462295482853,0.5128913443830571,0.033324409840009714,0.025245619183044576,10.678203253726252,-0.8317693913152409,0.49442755825734547,0.04080897553028208,0.02976732463525685,8.574761118868745,-0.4946548006729796,0.5041003376748674
xgb,0.05541168602216482,0.04323724956411421,13.689657997163673,-0.9495382605950184,0.4972375690607735,0.05776288715051786,0.05015054556326443,36.16591194774115,-4.503559276530308,0.48936170212765956,0.0565433380594874,0.0465288188603811,24.391087157424145,-1.8694086552133227,0.4934876989869754
lgbm,0.05048106083818881,0.03839676933424069,11.637998918125872,-0.618027799827144,0.5027624309392266,0.0466826328350624,0.03813291573150136,25.45625757993843,-2.5946494718941566,0.5015197568389058,0.04870950270539071,0.03827114294451386,18.21716982946644,-1.1293983247253037,0.5021707670043415
arima,0.055482165546328184,0.04206730760995691,9.077414755534331,-0.9545007485353765,0.49171270718232046,0.02857231707223425,0.021502746272742776,11.535736009643289,-0.34659434268870504,0.49949341438703143,0.04473627697110022,0.03227607652465525,10.247874513279406,-0.7961772595582839,0.4954172696575012
varx,0.05543708689097945,0.04202665575939361,9.056332255778583,-0.951326017626295,0.48987108655616945,0.02870531496840121,0.021647582801171756,11.744809521007884,-0.3591597245121423,0.49949341438703143,0.04474753667543576,0.03232373969100723,10.336374253261129,-0.797081535523833,0.4944524843222383
lstm,0.0401757829777559,0.026797654100736076,2.2311984429125817,-0.014650211837344607,0.49290444654683063,0.025629223709240583,0.018265174938207885,5.219423207532306,-0.0838809690568203,0.5031315240083507,0.03404395042100382,0.022741021327682975,3.6519028223198755,-0.03199361687519997,0.4977667493796526
gru,0.044229946325199325,0.03160026992483242,9.307694727770604,-0.22976032131508672,0.510879848628193,0.039869947594374525,0.03313382997581187,21.684729348105204,-1.623022504945606,0.4968684759916493,0.042213245504452886,0.03232937688703506,15.192160815254745,-0.5866991877880758,0.5042183622828784
cnn,0.06324558302514692,0.05094823033407471,14.953786079165537,-1.5144792290940776,0.4768211920529801,0.030726876307966274,0.02445399209301329,14.86549503139077,-0.5579284614794131,0.49478079331941544,0.05046921768210764,0.0383519622274063,14.91180949168751,-1.2680376412919405,0.48535980148883373
tft,0.05436144811364745,0.04046257608215287,7.686080774127192,-0.857674783906603,0.4796594134342479,0.04910068864545361,0.03927652406732195,15.260998641738128,-2.978193042868065,0.48956158663883087,0.05192680632062388,0.039898686340114155,11.287456117636513,-1.4009346421867348,0.4843672456575682
