model,val_rmse,val_mae,val_mape,val_r2,val_dir,test_rmse,test_mae,test_mape,test_r2,test_dir,all_rmse,all_mae,all_mape,all_r2,all_dir
ridge,0.15156044839326308,0.05126914583518012,11.28025176669705,-13.52843761594723,0.48996350364963503,0.07594255693726416,0.06296736467669464,59.92314887890781,-8.512973669000802,0.49341438703140833,0.12173344247806926,0.05681218087914308,34.328998502055676,-12.236861470618482,0.49159865578492556
ols,0.15171963633429814,0.05135268511585397,11.311670330544318,-13.558972846838333,0.48905109489051096,0.07614601744246356,0.06313940955782334,60.10338453679647,-8.564015068207054,0.49341438703140833,0.12189789102452865,0.05693765728302813,34.43093193475501,-12.27264872647246,0.4911185789726356
svr,0.04833369863711798,0.035451624421942024,7.807039032536363,-0.47756709108233064,0.5191605839416058,0.034861523974086525,0.026840945951232258,12.468057323475533,-1.0046501948042952,0.49746707193515705,0.04248601531141927,0.03137157658200417,10.015596427234856,-0.6123421938977793,0.5088814210273643
xgb,0.054106962639544884,0.04125704513738425,13.079214622896616,-0.8516268079524287,0.5054744525547445,0.054304123041075944,0.04603747326067072,30.0086650400576,-3.8642005559219843,0.49138804457953394,0.05420047370261024,0.04352218318716041,21.100994537317113,-1.6240456202460218,0.4987998079692751
lgbm,0.051192548494408505,0.038983664021918475,12.194779380367148,-0.6575271495906776,0.4972627737226277,0.04831456633515194,0.04039702801161604,27.205042205630015,-2.8503661902379487,0.5015197568389058,0.049849574347221176,0.03965336649807377,19.307179480479704,-1.2196685334481767,0.49927988478156504
arima,0.1516222495254309,0.051375536452671004,11.327380693531833,-13.540288424833642,0.48905109489051096,0.028568611439585542,0.021448834440107575,11.7495835634522,-0.34624507732356524,0.49645390070921985,0.11172680182686233,0.037195193252286894,11.527435533959775,-10.150130525211969,0.4925588094095055
varx,0.15145632790742558,0.05138659115382588,11.334045173379714,-13.508482695101224,0.48996350364963503,0.028934078344555813,0.021860514894311976,12.337263561626587,-0.3809093489449096,0.49645390070921985,0.11165292961913706,0.03739607878313927,11.809405974723772,-10.135390777176504,0.4930388862217955
lstm,0.041281001254304645,0.027770113302440055,3.4381689335861885,-0.06706828850379187,0.5126522961574508,0.031022612900321066,0.024011606054787797,16.449061887895898,-0.5880619297800682,0.5208768267223383,0.0367861942808433,0.02599201456503222,9.593445699131225,-0.1991052239245521,0.5165432098765432
gru,0.042160826775368025,0.029852409509173033,10.632833227150979,-0.11303803768504639,0.5267104029990628,0.041441983061152037,0.03371027028340986,15.992830860510484,-1.8339471369454379,0.48956158663883087,0.04182229157017111,0.0316775110507626,13.168575317402045,-0.5498983842756433,0.5091358024691358
cnn,0.18829169059565343,0.09150861980286568,19.582790349815127,-21.200056432923013,0.4985941893158388,0.0743231736633524,0.06511502169605958,57.55884793849718,-8.115052604270653,0.4968684759916493,0.14592589295756728,0.07902216697011494,37.54874747078174,-17.869148124145706,0.49777777777777776
tft,0.06021303959989755,0.04527601345003855,17.701285128885225,-1.2702457501695696,0.4985941893158388,0.045091693564567666,0.03976829595015028,29.11231577632637,-2.355086959597136,0.5020876826722338,0.05359376180217094,0.04267038709700499,23.099688763575905,-1.545165677795389,0.5002469135802469
