date,split,price_true,price_pred
2020-01-02,val,6945.020000000004,7113.01054452347
2020-01-03,val,7334.45,6995.2148845388765
2020-01-04,val,7348.6299999999965,7329.5344632355
2020-01-05,val,7355.400000000011,7298.86404889789
2020-01-06,val,7764.629999999993,7423.825456070988
2020-01-07,val,8158.519999999995,7769.290504165332
2020-01-08,val,8045.510000000001,8161.651711411155
2020-01-09,val,7813.780000000006,8043.8517196051225
2020-01-10,val,8198.089999999997,7860.694090432966
2020-01-11,val,8020.0,8198.381831783716
2020-01-12,val,8180.81000000001,7984.141814761431
2020-01-13,val,8104.499999999998,8231.137901580221
2020-01-14,val,8815.689999999995,8118.4961432840455
2020-01-15,val,8808.809999999998,8842.28137988001
2020-01-16,val,8714.759999999998,8789.86266193169
2020-01-17,val,8899.420000000004,8702.974060924162
2020-01-18,val,8909.319999999998,8923.02620379073
2020-01-19,val,8697.529999999997,8906.001929789682
2020-01-20,val,8628.890000000005,8682.370320624726
2020-01-21,val,8722.029999999999,8664.784637450308
2020-01-22,val,8660.380000000001,8772.212376499208
2020-01-23,val,8385.21999999999,8664.91511531922
2020-01-24,val,8427.260000000006,8367.841473994058
2020-01-25,val,8326.809999999998,8445.863565256903
2020-01-26,val,8595.0,8278.24255625619
2020-01-27,val,8895.959999999994,8608.286702302115
2020-01-28,val,9394.500000000002,8827.853416849832
2020-01-29,val,9288.439999999999,9348.05259240423
2020-01-30,val,9503.080000000007,9275.518494258538
2020-01-31,val,9334.980000000003,9541.464851884413
2020-02-01,val,9380.179999999998,9239.996892421112
2020-02-02,val,9323.5,9346.968169901016
2020-02-03,val,9280.489999999998,9326.888977766233
2020-02-04,val,9164.329999999998,9269.529134031247
2020-02-05,val,9613.819999999998,9133.626082514733
2020-02-06,val,9763.009999999998,9558.703996032727
2020-02-07,val,9808.050000000012,9668.351602036299
2020-02-08,val,9905.639999999996,9661.628777589407
2020-02-09,val,10168.350000000004,9790.120544236945
2020-02-10,val,9851.779999999993,10121.072586149478
2020-02-11,val,10270.009999999993,9829.957505698025
2020-02-12,val,10351.130000000001,10261.467500145309
2020-02-13,val,10236.489999999996,10268.139545535661
2020-02-14,val,10371.330000000013,10278.947558594155
2020-02-15,val,9911.219999999996,10302.964395991528
2020-02-16,val,9920.999999999998,9905.948082253695
2020-02-17,val,9700.000000000002,9958.518468081898
2020-02-18,val,10188.040000000005,9654.859820529684
2020-02-19,val,9600.079999999994,10194.672426934216
2020-02-20,val,9610.049999999994,9569.435223815872
2020-02-21,val,9695.660000000002,9652.169833667745
2020-02-22,val,9668.230000000007,9569.340815418353
2020-02-23,val,9965.010000000004,9641.357761113055
2020-02-24,val,9660.0,9906.852749598615
2020-02-25,val,9304.999999999985,9577.175937242411
2020-02-26,val,8778.300000000008,9244.650986060233
2020-02-27,val,8812.489999999996,8742.420887090606
2020-02-28,val,8708.890000000001,8755.957487920934
2020-02-29,val,8525.069999999994,8598.738980443712
2020-03-01,val,8522.310000000003,8364.368077121033
2020-03-02,val,8914.999999999996,8509.507729057375
2020-03-03,val,8757.84000000001,8830.844329907548
2020-03-04,val,8760.659999999985,8679.640662502374
2020-03-05,val,9070.170000000013,8676.857731929305
2020-03-06,val,9158.509999999998,8850.192922255414
2020-03-07,val,8901.370000000003,9053.318493561133
2020-03-08,val,8037.7599999999975,8746.872994512609
2020-03-09,val,7934.519999999992,8061.6067206846155
2020-03-10,val,7894.680000000009,7875.255279761247
2020-03-11,val,7938.050000000005,7646.506831875533
2020-03-12,val,4857.099999999997,8193.90662945354
2020-03-13,val,5637.600000000002,5038.727494710228
2020-03-14,val,5165.249999999999,5671.788012098928
2020-03-15,val,5345.349999999997,5119.718680862733
2020-03-16,val,5037.610000000002,5560.6523699737145
2020-03-17,val,5331.709999999999,4965.833889616675
2020-03-18,val,5413.640000000002,5351.0626444922045
2020-03-19,val,6186.260000000005,5342.190744230671
2020-03-20,val,6206.099999999996,6093.364201980518
2020-03-21,val,6198.779999999997,6227.122125403507
2020-03-22,val,5818.25,6149.668440684896
2020-03-23,val,6490.6300000000065,5770.8857042180825
2020-03-24,val,6766.64,6911.536276935847
2020-03-25,val,6690.959999999991,6684.785798087209
2020-03-26,val,6758.180000000005,6671.821637906795
