date,split,price_true,price_pred
2020-01-02,val,6945.020000000004,7112.9438789493015
2020-01-03,val,7334.45,6994.969940149655
2020-01-04,val,7348.6299999999965,7329.970997886078
2020-01-05,val,7355.400000000011,7298.847738045768
2020-01-06,val,7764.629999999993,7423.885747069574
2020-01-07,val,8158.519999999995,7769.92781010744
2020-01-08,val,8045.510000000001,8162.184799016625
2020-01-09,val,7813.780000000006,8043.826369939647
2020-01-10,val,8198.089999999997,7860.321040637586
2020-01-11,val,8020.0,8198.617703878583
2020-01-12,val,8180.81000000001,7983.71971122551
2020-01-13,val,8104.499999999998,8231.212574834643
2020-01-14,val,8815.689999999995,8118.2581752989245
2020-01-15,val,8808.809999999998,8843.18903365441
2020-01-16,val,8714.759999999998,8789.73262936722
2020-01-17,val,8899.420000000004,8702.75045045633
2020-01-18,val,8909.319999999998,8923.20417865369
2020-01-19,val,8697.529999999997,8905.914138192555
2020-01-20,val,8628.890000000005,8682.089778972677
2020-01-21,val,8722.029999999999,8664.612152966694
2020-01-22,val,8660.380000000001,8772.220572014889
2020-01-23,val,8385.21999999999,8664.72840526952
2020-01-24,val,8427.260000000006,8367.457115240353
2020-01-25,val,8326.809999999998,8445.823817870165
2020-01-26,val,8595.0,8277.987918156083
2020-01-27,val,8895.959999999994,8608.56746741772
2020-01-28,val,9394.500000000002,8828.17604732817
2020-01-29,val,9288.439999999999,9348.799800270444
2020-01-30,val,9503.080000000007,9275.27620331939
2020-01-31,val,9334.980000000003,9541.711324079137
2020-02-01,val,9380.179999999998,9239.566769727935
2020-02-02,val,9323.5,9347.072216363276
2020-02-03,val,9280.489999999998,9326.832164579913
2020-02-04,val,9164.329999999998,9269.496459876831
2020-02-05,val,9613.819999999998,9133.371013895463
2020-02-06,val,9763.009999999998,9559.094856354879
2020-02-07,val,9808.050000000012,9668.304372639412
2020-02-08,val,9905.639999999996,9661.412637447293
2020-02-09,val,10168.350000000004,9790.112680376937
2020-02-10,val,9851.779999999993,10121.306846579942
2020-02-11,val,10270.009999999993,9829.542113007943
2020-02-12,val,10351.130000000001,10261.981902704023
2020-02-13,val,10236.489999999996,10268.106791497692
2020-02-14,val,10371.330000000013,10278.717175413414
2020-02-15,val,9911.219999999996,10302.991756046898
2020-02-16,val,9920.999999999998,9905.35321430535
2020-02-17,val,9700.000000000002,9958.550623664643
2020-02-18,val,10188.040000000005,9654.407407625406
2020-02-19,val,9600.079999999994,10195.294677157597
2020-02-20,val,9610.049999999994,9568.780183168084
2020-02-21,val,9695.660000000002,9652.272769009633
2020-02-22,val,9668.230000000007,9569.348030004332
2020-02-23,val,9965.010000000004,9641.422255123438
2020-02-24,val,9660.0,9907.297728692834
2020-02-25,val,9304.999999999985,9576.819619575665
2020-02-26,val,8778.300000000008,9244.510788378775
2020-02-27,val,8812.489999999996,8742.040828277795
2020-02-28,val,8708.890000000001,8756.204248030075
2020-02-29,val,8525.069999999994,8598.7696959868
2020-03-01,val,8522.310000000003,8364.101885615191
2020-03-02,val,8914.999999999996,8509.783243489119
2020-03-03,val,8757.84000000001,8831.296676362012
2020-03-04,val,8760.659999999985,8679.476368776393
2020-03-05,val,9070.170000000013,8677.03441022543
2020-03-06,val,9158.509999999998,8850.462936698203
2020-03-07,val,8901.370000000003,9053.596194902999
2020-03-08,val,8037.7599999999975,8745.9752042988
2020-03-09,val,7934.519999999992,8060.805819827782
2020-03-10,val,7894.680000000009,7875.167785139286
2020-03-11,val,7938.050000000005,7646.321701612027
2020-03-12,val,4857.099999999997,8194.19527991065
2020-03-13,val,5637.600000000002,5035.552271442845
2020-03-14,val,5165.249999999999,5673.147080434046
2020-03-15,val,5345.349999999997,5118.901342835805
2020-03-16,val,5037.610000000002,5561.494150889563
2020-03-17,val,5331.709999999999,4965.163066888897
2020-03-18,val,5413.640000000002,5351.821388984777
2020-03-19,val,6186.260000000005,5342.329485207786
2020-03-20,val,6206.099999999996,6094.256454980191
2020-03-21,val,6198.779999999997,6227.256136216518
2020-03-22,val,5818.25,6149.384170596058
2020-03-23,val,6490.6300000000065,5770.83662130572
2020-03-24,val,6766.64,6911.767087393983
2020-03-25,val,6690.959999999991,6685.761275650214
2020-03-26,val,6758.180000000005,6672.076530927392
2020-03-27,val,6372.360000000004,6460.574722716089
2020-03-28,val,6251.820000000001,6289.77183095287
2020-03-29,val,5877.209999999991,6115.061134024566
2020-03-30,val,6406.400000000001,5753.0047558447295
2020-03-31,val,6424.350000000004,6217.748607291578
2020-04-01,val,6666.109999999996,6308.997667118897
2020-04-02,val,6804.519999999999,6726.406851888022
2020-04-03,val,6741.990000000007,6827.933673353229
2020-04-04,val,6874.770000000003,6943.144287902487
2020-04-05,val,6778.249999999993,6986.424720581991
2020-04-06,val,7341.559999999998,6637.817282206661
2020-04-07,val,7200.01000000001,7323.0392621081155
2020-04-08,val,7370.109999999993,7158.2000986523335
2020-04-09,val,7293.240000000003,7198.605327193522
2020-04-10,val,6871.91,7589.15539282534
2020-04-11,val,6889.649999999992,6840.275319288388
2020-04-12,val,6908.130000000006,6873.463792644131
2020-04-13,val,6861.210000000002,6796.928689107586
2020-04-14,val,6877.369999999994,6801.226678858983
2020-04-15,val,6624.119999999999,6877.702534467071
2020-04-16,val,7112.64000000001,6643.895506362684
2020-04-17,val,7037.4599999999955,7067.137004962075
2020-04-18,val,7261.76,6715.193895653373
2020-04-19,val,7130.709999999998,7488.915096852018
2020-04-20,val,6838.190000000007,6826.311222401856
2020-04-21,val,6853.680000000001,6832.641466030577
2020-04-22,val,7136.839999999992,2245.9847925759996
2020-04-23,val,7488.829999999998,21347.486850926896
2020-04-24,val,7514.639999999997,11033.313217477807
2020-04-25,val,7547.609999999999,5198.437223467023
2020-04-26,val,7706.4000000000015,7135.07526316722
2020-04-27,val,7789.7699999999995,7551.180482607233
2020-04-28,val,7755.010000000002,16547.475266217636
2020-04-29,val,8793.750000000007,3600.3532900646956
2020-04-30,val,8624.279999999997,8410.877978223845
2020-05-01,val,8829.420000000002,9048.005621734217
2020-05-02,val,8985.58,8998.445777083976
2020-05-03,val,8909.95,9102.811081300355
2020-05-04,val,8883.530000000008,9039.608181996055
2020-05-05,val,9028.789999999992,9116.407460374778
2020-05-06,val,9155.790000000006,8756.187776181227
2020-05-07,val,10004.769999999995,9079.553728337465
2020-05-08,val,9810.0,9630.722617233565
2020-05-09,val,9537.209999999997,9700.530814435095
2020-05-10,val,8729.860000000011,9451.207002243478
2020-05-11,val,8572.399999999987,8695.166018138138
2020-05-12,val,8821.42000000001,8551.67075932482
2020-05-13,val,9321.26,8701.110570990702
2020-05-14,val,9795.339999999987,9287.733458946577
2020-05-15,val,9312.1,9606.208130509976
2020-05-16,val,9383.16000000001,9342.044604721403
2020-05-17,val,9676.629999999996,9455.515756232564
2020-05-18,val,9728.519999999995,9438.581435171256
2020-05-19,val,9783.759999999998,9622.347522226191
2020-05-20,val,9509.410000000005,9717.940226256143
2020-05-21,val,9061.959999999995,442.63644349668914
2020-05-22,val,9168.840000000011,173389.61713761292
2020-05-23,val,9181.759999999998,9710.826897870375
2020-05-24,val,8715.729999999996,9159.291473065236
2020-05-25,val,8899.309999999996,8745.752222411485
2020-05-26,val,8844.42000000001,8783.671251920909
2020-05-27,val,9208.530000000004,8725.984293682928
2020-05-28,val,9580.189999999997,8764.195682430018
2020-05-29,val,9423.840000000007,9407.130446111234
2020-05-30,val,9700.329999999989,9554.749025417505
2020-05-31,val,9446.57000000001,9970.166068721326
2020-06-01,val,10208.959999999997,9468.863518884144
2020-06-02,val,9522.46,10189.249137563771
2020-06-03,val,9668.069999999996,9460.863299000926
2020-06-04,val,9788.029999999992,9789.779458633067
2020-06-05,val,9613.210000000008,9908.934462271474
2020-06-06,val,9671.700000000008,9524.777073878071
